platform,komentar
YouTube,"Masih bertahan di bioskop Indonesia sampai saat ini 😂
Gw baru nonton semalam karena penasaran 😅
Beruntung gw nonton nya. Kagak rugi 🤣"
YouTube,Kalo bisa ini film ini berkelanjutan. Grup lawakny berempat ini.. utk penerus film dono. Di tungggu film berikutny
YouTube,10 juta penonton
YouTube,Dari awal smpe habis tertwa terpingkal2
YouTube,10/10!!!!!
YouTube,"Buat season 2 nya dong min, lucu parah😂"
YouTube,"Barusan balik dari bioskop. Tolooong bgt ini mah bisa kali 10 jt penonton bisaa yok bisaa. Makasih banyak buat semua yg terlibat di film keren ini. Kalian bikin ""me time"" mamak anak 2 ini jadi bener2 bahagiaa 🤣🤣🤣❤️"
YouTube,Mas-mas Jamet : Cok! Setan e mBatak Kabeh  :D :D
YouTube,Udah nonton kocak abis😂😂
YouTube,7 march di tgv
YouTube,Eh? Rilis di Malaysia juga?
YouTube, @GalluZ  iya. Setiap minggu pasti ada 1 atau 2 movie indo yg di selit.
YouTube,​ @GalluZ  yoi Malay dan Brunei
YouTube,Start harini. Semua movie baru selalunya keluar hari Khamis sampai 1 2 minggu
YouTube,Tentang apa sih filmnya? Soalnya aku nga suka horor
YouTube, @sitiarofah1380  horor komedi kak. Ada 4 orang yg kelola rumah hantu gt. Bukan yg serem gimana kok. Lebih prefer ke kocaknya 😁
YouTube,gw udah nonton nih film dan sangat rekomendasi buat kalian yg mau healing sangat seru puoll nonton bareng temen dijamin emng beneran agak laen 😋🙌
YouTube,Waw❤
YouTube,Enak bet cok
YouTube,Mamat mvp
YouTube,that’s “angin duduk” gets me😭😭😭😭😭😭😭😭😭😭😭😭
YouTube,"Coba nonton film thn 70/80 an.....""lukisan berlumur darah"", ""bayi ajaib"", ""sumpah pocong"", ""wanita buruk rupa"" masih banyak yang lainnya.
Kalo pribadi,, film layar lebar sekarang2 in jauh kualitasnya dibanding film 70/80 an."
YouTube,ngakak kenceng bgt ntn film ini
YouTube,10 jt penonton kayak.nya bisa deh !!!
YouTube,😂
YouTube,Scen yg oki rengga  marahin pelakor.. tiba2 aku ngakak  sejadi2 ny.. 😂knpa iyaa..
YouTube,Basecamp pd komedian ini mah.. 👍👍👍
YouTube,Lawakannya gk dibayangkan seger banget... seremnya jg dapet... kalau seremnya dipanjangin waduh... ngeri tuh..😂
YouTube,Kok trailer nya gk lucu sih.. mending my stupid boss.
YouTube,Mirip film hantu thailand PeeMak
YouTube,Cocok banget ini lagu buat mas Samsul 😂😂😂
YouTube,Udah nonton seru banget
YouTube,"udah nonton, vibe nya kayak warkop dki, keren, mantap!"
YouTube,"Sama suami sama2 suka nonton film tapi suami suka yg komedi, aku suka yg horor, 
Lumayan bisa menyatukan 2 selera kita, filmnya bgs"
YouTube,"Premisnya aja udah lucu, rumah hantu gak laku karena gak seram, pas mereka buat seram ternyata malah buat orang kena serangan jantung. Agak laen memang."
YouTube,Parah si ini saya sampe nangis ketawa ngeri ngeri sedap sukses untuk aga laen😊
YouTube,7 JT orang yg nonton rugi dong gak lucu🥴
YouTube,Coba ditonton dulu deh
YouTube,"Tonton dulu deh, tdnya saya juga gak expect tinggi, cuma mau rame2 aja nongkrong nonton bareng temen2. Tp pas nonton dr awal sampe akhir gak brenti2 ketawa...plg2 sampe sakit kepala, kebanyakan ketawa kayaknya😂 gak rugi deh, keren!"
YouTube,Apanya yang mirip??
YouTube,Ernest emang paling bener bikin film
YouTube,Fargo versi Indo.
YouTube,Mukidis
YouTube,"Baru mw otw bioskop nonton kedua kali... Mggu kmrn sm anak2, hari ini ultah anak jd ajak tmn2 dia... Mantap... Ga bosen...🎉🎉🎉"
YouTube,Kapan la liris
YouTube,Aku udah nton..sumpah lucuuuu bnget...ad jg sdihnya...pokoknya keren deh...aku suka filmnya
YouTube,Jamaah Al nopiah Hadir ❤
YouTube,"Lucu ini suer gue, bini + penonton lainnya ngakak mulu 😂 pengen nonton lg"
YouTube,Sangat sederhana tapi mengunggah gelagak tawa. Pemeran pak tohar wahyudi sangat cocok sih.
YouTube,Bener 2 lucuuuu .ngak nonton rugi...bener keren....ceritanya ringan dikemas dengan apik bgt😂😂😂
YouTube,Terimakasih agak Laen tadi gw nonton sumpah ngakak banget rugi coy gak nonton 😂🤣
YouTube,Cok setane batak cok 🤣🤣🤣 ngakak
YouTube,penonton tembus 7jt kerennn bang
YouTube,"G sabar nunggu season ke 2 ny agak Laen....
Rencana pada mau buka rumah makan 😂"
YouTube,"Siapkan mental... 
Lengserkan desa penari dari tahta film terlaris Indonesia. 

RAMAIKAN"
YouTube,Film Komedi Indonesia terbaik yang pernah saya tonton🙏
YouTube,"""Angin apa yang bisa buka kursi lipat"" ""Angin duduk"" 😂😂😂😂"
YouTube,Agak laen 2 wajib ada tauuuu
YouTube,Gak ada uang untuk 8njil ke lusr negeri
YouTube,Cape rahangku ngakak nnton ini😂😂😂
YouTube,Betul alurnya komplit
YouTube,Bila masuk malaysia..😂😂
YouTube,Luculah klo pocong logatnya batak😅
YouTube,Scan Jegel di tinggalin pas pd ketakutan trz rigen bilang Babi.. Distu smp sakit perut gw ketawa
YouTube,lucu banget bukan rumah hantu tapi rumah orang miskin Hahaha 😂
YouTube,Yg belum nonton harus nonton !!!! Baguss banget
YouTube,FILM TERBAIK INI SIH NONTON SAMPAI KETAWA LEPAS!🎉
YouTube,UDAH NONTON NIHH SERU BANGETTT APALAGI PAS DI ENDNY SI COWO KAYAK DRAMATIS BANGETT )) PADAHAO CALONNYA ENGGA NIKAHNWKWKKW LUCU BANGET BANGG TAMBAHIN SEASON 2 NYAA YAA DEEH
YouTube,"Guysss wajib nonton yaa, asli pecah bgt😭"
YouTube,"baru semalem nonton, niat nonton di velvet  jam 22.00 biar bisa sambil rebahan santay, eh yang ada malah duduk ngakak nontonnya, hhaha"
YouTube,Asli Film komedy paling lucu yg pernah aku tonton😁 selama 2 jam ketawa trus plus ada sedih2 ny dikit terharu inget mamaku😢
YouTube,Agak lain 2 yok
YouTube,Mau tanya gimana cara nonton di hp yg berbayar ya
YouTube,Angi duduk ya kan..
YouTube,"Udah nonton, dan ngakak poll😂"
YouTube,Pejabat korup wajib nih maen ke rumah hantu ini ☠ 👻
YouTube,"Koyoke nopek salah ucapppp…. Kudune setane mbataaaaakkkkkkk, kurang huruf m"
YouTube,Sudah 6 juta aja…whew!
YouTube,"Kasian adek Oki, di suruh beli kerupuk, 2 Tahun lebih baru balik 😂😂😂"
YouTube,"kalo istriku bukan pengecut,pasti da ku tonton film box office ini.sukses buat film agak laen dan yg ga takut nonton film horor komedi dan blm nonton,harus nonton."
YouTube,Udah 4jt yg nonton… keren dan original 👏🏼👏🏼👏🏼👏🏼
YouTube,Tgl 29 feb kak
YouTube,nonton dimana?
YouTube,Sumpah bagian pas pengunjungnya lari terus hantunya ikutan lari gegara di teror arwahnya pak Basuki pecah bgt sih asli 😂😂
YouTube,Seru banget filem nyahh kocak lagi sangat menghibur
YouTube,Keren filmnya sampe ngakak gw 😂  oki rengga & jeggel mpv nya
YouTube,Keinget Secret Zoo yak tapi mantap keren
YouTube,"Aku baru nonton hari minggu 18 feb..
Memang seri banget ini film , ketawa ngakaak setiap tayangan nya 😂😂😂"
YouTube,Ini di lokasi syuting nya apa ndak capek ketawa ya 😂
YouTube,asli gokil ne film ga berhenti ngakak nontonya 😁
YouTube,"Tadi malem liat lucu juga 😂😂, dan yang paling lucu itu sih jegel sama sih Oky🤣"
YouTube,Congrats sudah tembus 6 juta penonton 👏
YouTube,Setan e batak too!!! 😂😂
YouTube,Sakit perut gara2 ketawa Mulu liat movie ini 😂😂
YouTube,"Seru film nya, wajib nnton semua nya..
Ngakak parah summppaaahhh👍👍"
YouTube,Seruuuuuuuuu❤❤❤😂😂
YouTube,Udah nonton dan lucu bgt😂😂
YouTube,Gas 10jt🔥
YouTube,"Udah nonton kemarin filmnya. Untung gak nonton trailernya dulu jadi kemarin benar benar surpise. 

Selain komedi, film ini juga sedih. Aku nangis di part bagian yang sedih itu."
YouTube,"Sedikit masukan mungkin untuk film selanjutnya adegan/plot kunci jangan dimasukan trailer biar lebih banyak kejutannya. Saya sendiri untungnya gak nonton trailernya, dan saya 100% puas sama filmnya, ekspektasi saya beneran dipatahin. Mungkin kalo saya nonton trailernya kepuasan saya bakal turun. Overall thanks, filmnya bagus banget."
YouTube,Coba libat kan zacky zimah makin seru bgt pasty ini film
YouTube,Komika semua pulak semua yg main nya yaudah bukan pecah lagi lah meledak lah sudah ahahaha
YouTube,😂😂😂
YouTube,Haha saya juga ngakak sampe sakit perut pas bagian itu
YouTube,"Sumpah ini kocak bgt, apalagi yg pocong gantung 😂 disaat pada lari dia kaga bisa lari wkwk"
YouTube,"Kalo gak ada trailernya ya org gak bisa jadiin rekomendasi donk. 
Lagian trailer ini wadah ngiklanin juga😊"
YouTube," @tangpotong9432  harus tetep ada trailernya sih,"
YouTube,"Beh, bener itu mahhh"
